country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,,,,,,,,,,99.3,
Afghanistan,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2,,,,,,,,,,66.1
Anguilla,,,,,,,,,,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,,,,,,,99.1,,,98.9
Netherlands Antilles,,,,,,,,,,,,,,,,,,97.3,,,,,,,,,,,,,,,,,,,98.5
United Arab Emirates,56.3,,,,,,,,,,84.5,,,,,,,,,,,,,,,,,,,,97,,,,,,
Argentina,,,,,,97.3,,,,,,,,,,,98.5,,,,,,,,,,99.1,,,,,,,,,,99.4
Armenia,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,99.9,,,,,,,,,,99.8
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,100,,100,,
Burundi,,,,,21.5,,,,,,,,,,,48,,,,,,,,,,70.4,,,,,,,,88.1,,,
Benin,,,,,18.3,,,,,,,,,,,,,26.7,,,,,,,,,,33.2,,,,30.8,,,,,
Burkina Faso,6.66,,,,,,,,,,,,,,,,14.2,,,,,14,,,,,,,24.8,,26.5,,33.1,,,,
Bangladesh,,,,,,,27.1,,,,,,,,,,38,,,,,,,,,,60.3,,,,,,,,,,80.4
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1,,,,,,,,,,97.7
Bahrain,,,,,,,82.1,,,,,,,,,,96.6,,,,,,,,,,97.3,,,,,,,,,97.6,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,99.7
Belarus,,,,,,,,,,,,,,,99.8,,,,,,,,,,99.8,,,,,,,,,,99.8,,
Belize,,,,,,,,,,,,,,,,,76.7,,,,,,,,,,,,,,,,,,,,
Bolivia,,75.8,,,,,,,,,,,,,,,,91.6,,,,,,,,,96.1,,,,,,99.1,98.9,99.1,,
Brazil,,,,,,85.2,,,,,,,,,,,,,,,,,,,,95.7,,,,97.9,,98.4,98.6,98.5,98.7,98.3,
Brunei,,,,,,,93.2,,,,,,,,,,98.1,,,,,,,,,,98.9,,,,,,,,,,99.7
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,
Botswana,,,,,,,,,,,,,,,,,92.3,,,,,,,,,,,,95.6,,,,,,,,97
Central African Republic,18,,,,,,,,,,,,,34.9,,,,,,,,,,,,49,,,,,,,,,,,59.1
Chile,,,,,,,,97.1,,,,,,,,,,98.7,,,,,,,,,,99.2,,,,,,99.2,98.9,,
China,,,,,,,,82.1,,,,,,,,91.5,,,,,,,,,,98.5,,,,,,,,,,99.6,
Cote d'Ivoire,,,,,,,,,,,,,,37.9,,,,,,,,,,39.9,,52.1,,,,,,,,,,,62.8
Cameroon,,59.1,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,77.5,,,76.4,
